Type,Execs,Cores,TotalCores,MemGB,Data,AppID,S1,S2,S3,S4,S5a,S5b,S6a,S6b,TotalTime,AppTimeMs,ExecRunTimeMs,Parallelism,GCMs,GCRatio,ShuffleReadMs,ShuffleWriteMs,CommMs,CommRatio,ComputeMs,ComputeRatio,MemSpillMB,DiskSpillMB,PeakHeapMB,Run
Strong,2,4,8,8,small_2,application_1772492797887_0418,83.275715,18.037021,173.352211,155.737509,197.707928,158.264405,37.755770,157.038641,982.418150,996625,6669186,6.691770726200921,127693,0.019146714456606845,24759,7967.340609,32726.340609,0.004907096699507256,6508766.659391,0.9759461888438857,4096.0,1246.7278184890747,2841.7023849487305,1
Strong,2,4,8,8,small_2,application_1772492797887_0421,79.278612,18.818305,176.119899,162.635966,202.751123,160.597339,38.637842,161.972499,1002.075184,1017335,6654556,6.541164906348443,128990,0.019383712452040375,24782,7119.985944,31901.985944,0.004794006684142413,6493664.014056,0.9758222808638171,4096.0,1246.7278184890747,2943.3041229248047,2
Strong,2,4,8,8,small_2,application_1772492797887_0427,83.471000,17.936557,174.220089,162.296951,196.303483,160.923868,40.591763,162.071661,999.083703,1013019,6826213,6.738484668105922,127649,0.018699826682818128,31584,7079.945382,38663.945382,0.00566404027855562,6659900.054618,0.9756361330386262,4096.0,1246.7278184890747,2962.3378372192383,3
Strong,4,4,16,8,small_2,application_1772492797887_0439,86.075155,17.719478,120.552096,106.170557,134.424175,108.155830,26.175626,131.165685,731.690209,748731,7390679,9.870940297650277,130758,0.017692285106686405,110457,7676.113402,118133.113402,0.015984067688773924,7141787.886598,0.9663236472045396,4096.0,1246.7278184890747,1693.2986755371094,1
Strong,4,4,16,8,small_2,application_1772492797887_0442,93.292741,25.678370,166.839224,91.648111,118.809412,96.801332,24.582153,95.987379,714.912025,737264,7487046,10.155176436120561,140135,0.018716994659843146,122300,7694.417596,129994.417596,0.017362577656929046,7216916.582404,0.9639204276832276,4096.0,1246.7278184890747,1967.2793884277344,2
Strong,4,4,16,8,small_2,application_1772492797887_0444,122.094574,21.622124,115.401559,129.248455,187.896554,146.770895,30.044983,96.611348,851.232028,866368,7944089,9.169416460441742,151425,0.01906134233893905,119062,9060.920994,128122.920994,0.016128082275261517,7664541.079006,0.9648105753857994,4096.0,1246.7278184890747,2713.316032409668,3
Strong,8,4,32,8,small_2,application_1772492797887_0449,106.752054,24.584672,87.045173,60.351765,78.754050,68.041680,14.970331,68.647059,510.342048,529317,7975383,15.06730938171263,165701,0.020776557063152953,305682,10067.216238,315749.216238,0.03959047687590677,7493932.783762,0.9396329660609402,4096.0,1246.7278184890747,2902.177848815918,1
Strong,8,4,32,8,small_2,application_1772492797887_0454,85.123657,20.379066,80.112342,64.983922,87.120185,65.992220,16.843288,71.855215,494.655214,512241,7784334,15.196624245228291,165004,0.02119693219741085,284501,9848.973605,294349.973605,0.03781312230500387,7324980.026395,0.9409899454975851,4096.0,1246.7278184890747,2686.777717590332,2
Strong,8,4,32,8,small_2,application_1772492797887_0459,107.257653,14.540127,91.017859,70.735379,75.469767,57.050182,15.443141,57.259793,490.026316,514299,7913155,15.38629279854712,159639,0.02017387502203609,388118,10598.885315,398716.885315,0.0503865885749742,7354799.114685,0.9294395364029896,4096.0,1246.7278184890747,2908.433792114258,3
Strong,16,4,64,8,small_2,application_1772492797887_0462,89.810995,18.703968,49.771413,37.338710,49.834162,37.642115,10.808169,36.541340,331.707271,353970,9840908,27.801531203209233,238308,0.024216058111710827,672715,16357.618707,689072.618707,0.07002124384325104,8913527.381293,0.9057626980450381,4096.0,1246.7278184890747,2737.823699951172,1
Strong,16,4,64,8,small_2,application_1772492797887_0466,86.800481,17.880278,49.543396,36.657493,47.735134,34.605207,9.433406,35.051900,318.954681,337713,9505116,28.145543701308426,219645,0.023108082005522074,669277,13861.531991,683138.531991,0.07187061493947049,8602332.468009,0.9050213030550073,4096.0,1246.7278184890747,2865.7247924804688,2
Strong,16,4,64,8,small_2,application_1772492797887_0468,86.772818,17.704712,47.227774,31.450728,44.932611,30.891391,9.284084,30.562505,300.085499,316066,9258821,29.29394809944749,228908,0.024723234200121156,661358,15522.852789,676880.852789,0.07310659238244263,8353032.147211,0.902170173417436,4096.0,1246.7278184890747,2612.7912216186523,3
Strong,32,4,128,8,small_2,application_1772492797887_0469,111.038843,18.178659,44.014429,31.817901,43.518457,31.951687,8.016976,32.343427,322.120214,352179,10130680,28.7657128903199,243882,0.024073606115285445,929557,16869.475861,946426.475861,0.0934218113553088,8940371.524139,0.8825045825294056,4096.0,1246.7278184890747,2251.846611022949,1
Strong,32,4,128,8,small_2,application_1772492797887_0470,84.103115,18.368030,47.055624,33.412775,45.236912,30.581893,8.750854,30.055327,298.810638,328933,10509616,31.950628243441578,275822,0.026244726734069062,845773,17216.663107,862989.6631070001,0.08211429067503512,9370804.336893,0.8916409825908956,4096.0,1246.7278184890747,2927.5966186523438,2
Strong,32,4,128,8,small_2,application_1772492797887_0472,83.335680,17.694248,48.835416,32.879329,50.946716,33.999454,9.731220,32.357283,311.032134,341238,10817108,31.69959969288288,287832,0.026608960546571223,862762,17710.451496,880472.451496,0.08139628923886125,9648803.548504,0.8919947502145674,4096.0,1246.7278184890747,1810.6422500610352,3
Weak,2,4,8,4,small_1,application_1772492797887_0473,67.207018,21.859903,129.059101,113.281560,129.028841,112.234948,17.192943,112.115802,703.250211,719045,3678909,5.116382145762775,83163,0.022605343051431817,15130,4411.628508,19541.628508,0.005311799913506965,3576204.371492,0.9720828570350609,2000.0,597.0292339324951,2882.814468383789,1
Weak,2,4,8,4,small_1,application_1772492797887_0475,61.205444,20.893075,129.510388,108.601959,124.135673,116.084818,18.170846,121.934036,701.816186,716885,3826321,5.337426504948485,92570,0.024192951924315805,25102,4689.99965,29791.999649999998,0.007786069085683086,3703959.00035,0.9680209789900008,2000.0,597.0292339324951,2888.5309295654297,2
Weak,2,4,8,4,small_1,application_1772492797887_0480,63.485509,23.118361,130.327836,122.900490,140.260797,112.362005,18.487926,119.684315,731.899207,747238,3770452,5.045851522540334,88409,0.023447851875584142,21397,4746.365892,26143.365892,0.006933748498058057,3655899.634108,0.9696183996263575,2000.0,597.0292339324951,2949.1877975463867,3
Weak,4,4,16,4,small_2,application_1772492797887_0482,96.708893,18.286954,145.011443,115.664302,149.079518,83.646612,26.039625,98.986443,734.681633,751690,7692085,10.233054849738576,229015,0.029772811922905165,107783,9953.511176,117736.511176,0.015306189567067965,7345333.488824,0.9549209985100267,5952.0,1778.8662424087524,2870.0725860595703,1
Weak,4,4,16,4,small_2,application_1772492797887_0485,100.880986,15.239946,140.006120,134.580504,181.606309,132.124125,33.858503,131.148625,871.701504,885255,8354124,9.43696900892962,274115,0.03281193815174397,115201,9069.594719,124270.594719,0.014875359130293014,7955738.405281,0.9523127027179629,5952.0,1778.8662424087524,2482.4070739746094,2
Weak,4,4,16,4,small_2,application_1772492797887_0492,87.603023,17.456655,137.576369,103.735288,134.890606,107.505746,27.992638,113.692314,732.704448,761126,7923852,10.410696783449769,231582,0.02922593708211612,98387,9500.483604,107887.483604,0.01361553491963252,7584382.516396,0.9571585279982513,5952.0,1778.8662424087524,2876.7897415161133,3
Weak,8,4,32,4,small_4,application_1772492797887_0499,206.036807,568.038971,186.040409,152.353588,213.114300,183.528641,49.215685,139.388575,1699.048314,1729268,20053097,11.596292188371027,525296,0.026195255525867153,1230371,22442.564684,1252813.564684,0.06247481696637682,18274987.435316,0.911329927507756,13888.0,4176.067786216736,2774.5747985839844,1
Weak,8,4,32,4,small_4,application_1772492797887_0505,181.858586,30.526040,219.020724,142.243994,194.894548,136.373010,43.901600,142.292817,1092.391932,1122554,18463618,16.44786620510014,495967,0.02686185340272963,1358733,18287.690334,1377020.690334,0.07458021988615665,16590630.309666,0.8985579267111138,13888.0,4176.067786216736,2941.9645080566406,2
